file,flag,last,mu,sd,upper,lower,zscore,thr_yellow,thr_orange,thr_red,level,reason
IND045.xlsx,G,46.245,42.873016666666665,2.8838112715159223,,,1.1692801698360777,47.160318333333336,51.44761999999999,55.734921666666665,normal,auto_threshold
IND046.xlsx,G,6.44,6.626666666666667,0.2629554250354225,,,-0.7098795038798718,7.289333333333334,7.952,8.614666666666666,normal,auto_threshold
IND047.xlsx,G,7.17,7.252666666666667,0.288425996670849,,,-0.2866130918185101,7.977933333333334,8.7032,9.428466666666667,normal,auto_threshold
IND048.xlsx,G,23.933,22.233083333333337,2.19984908036633,,,0.7727424039396305,24.456391666666672,26.679700000000004,28.90300833333334,normal,auto_threshold
IND049.xlsx,G,540.36,506.4228333333333,54.96837548662896,,,0.6173943902512076,557.0651166666667,607.7073999999999,658.3496833333334,normal,auto_threshold
IND050.xlsx,G,61.61,62.27744833333334,2.056525148844553,,,-0.3245515055861787,68.50519316666667,74.732938,80.96068283333334,normal,auto_threshold
IND051.xlsx,G,1471.55,1418.8166666666666,28.0372767737676,,,1.880829360099338,1560.6983333333335,1702.58,1844.4616666666666,normal,auto_threshold
IND052.xlsx,G,2875.12,2874.1876666666662,8.944609618222477,,,0.10423409999182541,3161.606433333333,3449.0251999999996,3736.4439666666663,normal,auto_threshold
IND053.xlsx,G,60.29,56.9235,4.7817461333003966,,,0.7040315203175411,62.61585,68.3082,74.00055,normal,auto_threshold
IND054.xlsx,G,78.81,76.26700000000001,5.393437771959226,,,0.47149890432057756,83.89370000000002,91.52040000000001,99.14710000000002,normal,auto_threshold
IND055.xlsx,G,,,,,,,,,,,too_short
IND056.xlsx,G,,,,,,,,,,,too_short
IND057.xlsx,Y,60.346,54.77478333333333,2.8133061812966877,,,1.9803093967180003,60.25226166666667,65.72973999999999,71.20721833333333,yellow,auto_threshold
IND058.xlsx,G,1825.79,1840.6521666666667,5.479719302927599,,,-2.71221313448054,2024.7173833333336,2208.7826,2392.847816666667,normal,auto_threshold
IND059.xlsx,G,24239.57,24739.453666666665,673.2963460742445,,,-0.7424422686701206,27213.399033333335,29687.344399999994,32161.289766666665,normal,auto_threshold
IND060.xlsx,G,35.97,34.63333333333333,2.331128958728473,,,0.5733988510853376,38.09666666666667,41.559999999999995,45.02333333333333,normal,auto_threshold
IND061.xlsx,G,,,,,,,,,,,too_short
IND062.xlsx,G,154.85,176.93641666666664,11.9697398012542,,,-1.845187701102109,194.63005833333332,212.32369999999997,230.01734166666665,normal,auto_threshold
IND063.xlsx,G,,,,,,,,,,,too_short
IND064.xlsx,G,1393.56,1665.5167999999999,377.09443911805454,,,-0.7211901629630241,1832.06848,1998.6201599999997,2165.17184,normal,auto_threshold
IND065.xlsx,G,3.91,4.194333333333334,0.15947169724507004,,,-1.782970509785074,4.613766666666668,5.0332,5.452633333333334,normal,auto_threshold
IND066.xlsx,G,6406.432,6549.482133333334,467.3705631711443,,,-0.306074332886368,7204.430346666668,7859.37856,8514.326773333334,normal,auto_threshold
IND067.xlsx,missing,,,,,,,,,,,
IND068.xlsx,G,6602.99,6676.494666666667,113.92457906392121,,,-0.6452046368802061,7344.144133333335,8011.793600000001,8679.443066666669,normal,auto_threshold
IND069.xlsx,G,,,,,,,,,,,too_short
IND070.xlsx,G,7.1051,7.124028333333333,0.01340114536972043,,,-1.4124414601233515,7.836431166666667,8.548834,9.261236833333333,normal,auto_threshold
IND071.xlsx,Y,1471.55,1418.8166666666666,28.0372767737676,,,1.880829360099338,1400.0,1600.0,1800.0,yellow,custom_threshold
IND072.xlsx,G,4.0633,4.088238333333333,0.06632207297643293,,,-0.3760186045782182,4.497062166666667,4.905886,5.314709833333333,normal,auto_threshold
IND073.xlsx,G,3.5075,3.555181666666667,0.054859421833330306,,,-0.8691609403309035,3.910699833333334,4.266218,4.621736166666667,normal,auto_threshold
IND074.xlsx,G,3.6211,3.664363333333333,0.058969879222854904,,,-0.7336513810692266,4.030799666666667,4.3972359999999995,4.763672333333333,normal,auto_threshold
